Research ID,Race,International,Sex,Miles,Commuter,Dorm,IowaResident,SchoolofMajor,Athlete,HSRank,ACTComp,ACTMath,ACTEng,HSGPA,BVGPA,Hrs,Returned
1,E,0,0,70-79,0,A,1,I,1,,30,30,26,2.66,0,13,0
2,E,0,1,250-274,0,C,0,H,2,0.341,18,17,13,3.57,3,12,0
3,B,1,1,,0,F,0,I,1,,,,,,1.466,15,0
4,B,1,1,,0,D,0,K,1,,,,,,3.428,14,0
5,B,1,1,,0,D,0,K,1,,,,,,3,14,0
6,B,1,1,,0,D,0,K,1,,,,,,4,14,1
7,B,1,1,,0,E,0,K,1,,,,,,4,14,0
8,B,1,0,,0,C,0,K,1,,,,,,2.714,14,0
9,B,1,0,,0,A,0,H,1,,,,,,3.153,13,1
10,B,1,1,,0,E,0,H,1,,,,,,1.941,17,0
11,B,1,1,,0,B,0,K,1,,,,,,3.571,14,0
12,B,1,1,,0,E,0,K,1,,,,,,1.75,12,1
13,B,1,1,,0,B,0,K,1,,,,,,3.428,14,1
14,B,1,1,,0,E,0,H,1,,,,,,3,6,0
15,B,1,0,,0,A,0,H,1,,,,,,2.647,17,1
16,B,1,1,,0,D,0,H,1,,,,,,1.6,10,0
17,B,1,1,,0,B,0,J,1,,,,,,2.687,16,0
18,B,1,0,,0,A,0,K,1,,,,,,2.285,14,1
19,B,1,0,,0,A,0,K,1,,,,,,2.357,14,0
20,B,1,1,,0,E,0,K,1,,,,,,1.454,11,0
21,B,1,0,,0,A,0,K,1,,,,,,2.384,13,0
22,B,1,0,,0,C,0,H,1,,,,,,,0,0
23,B,1,1,,0,B,0,H,1,,,,,,2.307,13,1
24,B,1,1,,0,B,0,K,1,,,,,,3.23,13,1
25,B,1,0,,0,A,0,K,1,,,,,,1.615,13,1
26,B,1,1,,0,E,0,H,1,,,,,,3.75,12,1
27,B,1,0,,0,C,0,K,1,,,,,,2.923,13,1
28,B,1,1,,0,E,0,H,2,,,,,,3.769,13,1
29,B,1,0,,0,D,0,H,1,,,,,,1.25,12,0
30,B,1,1,,0,C,0,K,1,,,,,,2.307,13,1
31,B,1,1,,0,E,0,K,2,,,,,,2.533,15,1
32,B,1,0,,0,A,0,H,1,,,,,,2.692,13,1
33,B,1,0,,0,A,0,H,1,,,,,,3.538,13,1
34,B,1,1,,0,E,0,K,1,,,,,,1.461,13,1
35,B,1,0,,0,C,0,K,1,,,,,,2.75,12,0
36,B,1,1,,0,B,0,H,1,,,,,,0.25,12,0
37,B,1,0,,0,A,0,K,1,,,,,,2.5,14,1
38,B,1,1,,0,C,0,J,1,,,,,,,,0
39,B,1,0,,0,A,0,F,1,,,,,,3,10,1
40,B,1,1,,0,D,0,H,1,,,,,,,,0
41,B,1,1,,0,E,0,H,1,,,,,,,,0
42,B,1,1,,0,E,0,H,1,,,,,,2.538,13,0
43,B,1,0,,0,A,0,K,1,,,,,,3,12,1
44,B,1,1,,0,B,0,H,1,,,,,,2.769,13,1
93,I,0,0,350-399,0,D,0,J,1,0.054,20,16,22,3.34,2.2,15,1
94,A,0,0,100-109,0,A,0,J,2,0.22,21,23,21,3.57,1.75,12,1
95,A,0,0,70-79,0,A,1,K,1,0.1,21,20,25,3.95,3.111,13.5,1
96,A,0,0,10-19,0,A,1,G,1,0.6,17,20,18,2.97,0.25,12,0
97,A,0,1,60-69,0,E,1,H,1,0.864,14,15,11,2.14,,0,0
98,A,0,1,150-159,0,E,1,G,2,0.281,24,19,21,3.23,2.8,15,1
99,A,0,0,50-59,0,B,1,F,1,0.176,23,18,24,3.81,3.769,13,1
100,A,0,1,80-89,0,E,1,K,1,0.345,24,24,22,3.39,1.937,16,1
101,A,0,1,100-109,0,E,1,F,2,0.516,14,13,13,2.38,1.5,12,1
102,I,0,1,180-189,0,E,0,K,1,0.617,22,23,22,2.3,1.2,15,1
103,A,0,0,10-19,0,C,1,G,1,0.5,21,18,17,3.1,2.8,15,1
104,G,0,0,160-169,0,B,1,H,1,0.031,31,31,34,4.17,4,15,1
105,A,0,0,170-179,0,A,1,J,1,0.538,23,21,25,3,2.5,12,1
106,A,0,1,70-79,0,C,0,G,2,0.076,29,34,25,3.98,4,14,1
107,A,0,0,60-69,0,A,1,G,2,0.593,19,20,16,3.04,3,12,1
108,A,0,0,40-49,0,C,1,H,2,0.032,22,18,23,3.88,4,16,1
111,A,0,0,80-89,0,C,1,H,1,0.457,21,19,24,2.86,2.6,15,0
112,A,0,0,50-59,0,C,1,G,1,0.174,20,23,19,3.68,4,15,0
113,A,0,1,50-59,0,E,1,I,1,0.176,23,23,23,3.52,3.6,15,1
114,A,0,0,50-59,0,A,1,I,2,0.093,27,26,31,3.97,4,15,0
